,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Total_Amount_Spent
0,1957,Graduation,Single,58138.0,0,0,3,8,10,4,7,0,0,0,0,0,1,1617
1,1954,Graduation,Single,46344.0,1,1,2,1,1,2,5,0,0,0,0,0,0,27
2,1965,Graduation,Together,71613.0,0,0,1,8,2,10,4,0,0,0,0,0,0,776
3,1984,Graduation,Together,26646.0,1,0,2,2,0,4,6,0,0,0,0,0,0,53
4,1981,PhD,Married,58293.0,1,0,5,5,3,6,5,0,0,0,0,0,0,422
5,1967,Master,Together,62513.0,0,1,2,6,4,10,6,0,0,0,0,0,0,716
6,1971,Graduation,Divorced,55635.0,0,1,4,7,3,7,6,0,0,0,0,0,0,590
7,1985,PhD,Married,33454.0,1,0,2,4,0,4,8,0,0,0,0,0,0,169
8,1974,PhD,Together,30351.0,1,0,1,3,0,2,9,0,0,0,0,0,1,46
9,1950,PhD,Together,5648.0,1,1,1,1,0,0,20,1,0,0,0,0,0,49
10,1983,Graduation,Married,51381.5,1,0,1,1,0,2,7,0,0,0,0,0,0,19
11,1976,Basic,Married,7500.0,0,0,1,2,0,3,8,0,0,0,0,0,0,61
12,1959,Graduation,Divorced,63033.0,0,0,1,3,4,8,2,0,0,0,0,0,0,1102
13,1952,Master,Divorced,59354.0,1,1,3,6,1,5,6,0,0,0,0,0,0,310
14,1987,Graduation,Married,17323.0,0,0,1,1,0,3,8,0,0,0,0,0,0,46
15,1946,PhD,Single,82800.0,0,0,1,7,6,12,3,0,0,1,1,0,1,1315
16,1980,Graduation,Married,41850.0,1,1,3,3,0,3,8,0,0,0,0,0,0,96
17,1946,Graduation,Together,37760.0,0,0,2,4,1,6,7,0,0,0,0,0,0,317
18,1949,Master,Married,76995.0,0,1,2,11,4,9,5,0,0,0,1,0,0,1782
19,1985,2n Cycle,Single,33812.0,1,0,2,2,1,3,6,0,0,0,0,0,0,133
20,1982,Graduation,Married,37040.0,0,0,1,4,2,5,8,0,0,0,0,0,0,316
21,1979,Graduation,Married,2447.0,1,0,15,0,28,0,1,0,0,0,0,0,0,1730
22,1949,PhD,Married,58607.0,0,1,3,2,3,9,8,0,1,0,0,0,0,972
23,1954,PhD,Married,65324.0,0,1,3,6,2,9,4,0,0,0,0,0,0,544
24,1951,Graduation,Together,40689.0,0,1,7,7,1,5,8,0,0,0,0,0,0,444
25,1969,Graduation,Single,18589.0,0,0,2,2,1,3,7,0,0,0,0,0,0,75
26,1976,Graduation,Married,53359.0,1,1,4,5,1,4,7,0,0,0,0,0,0,257
27,1986,Graduation,Single,51381.5,1,0,0,27,0,0,1,0,0,0,0,0,0,637
28,1989,Graduation,Married,38360.0,1,0,2,2,1,4,3,0,0,0,0,0,0,131
29,1965,PhD,Married,84618.0,0,0,1,6,9,10,2,0,0,1,0,0,0,1672
30,1989,Master,Divorced,10979.0,0,0,2,3,0,3,5,0,0,0,0,0,0,30
31,1963,Master,Together,38620.0,0,0,1,2,5,3,3,0,0,0,0,0,0,318
32,1970,Graduation,Together,40548.0,0,1,2,2,1,4,5,0,1,0,0,0,0,120
33,1952,PhD,Divorced,46610.0,0,2,6,4,1,6,6,0,0,0,0,0,1,302
34,1946,Master,Married,68657.0,0,0,1,3,5,9,7,0,0,0,0,0,0,1196
35,1951,Master,Single,49389.0,1,1,1,2,0,3,7,0,0,0,0,0,0,65
36,1970,PhD,Married,67353.0,0,1,5,5,6,12,2,0,0,0,0,0,0,913
37,1976,2n Cycle,Married,23718.0,1,0,3,3,1,2,7,0,0,0,0,0,0,81
38,1973,Graduation,Widow,42429.0,0,1,2,1,1,3,5,0,0,0,0,0,0,67
39,1943,PhD,Divorced,48948.0,0,0,2,7,10,5,6,1,0,0,0,0,1,902
40,1980,Graduation,Married,80011.0,0,1,2,8,6,5,4,0,0,0,0,0,0,1395
41,1985,Master,Married,20559.0,1,0,2,2,0,3,8,0,0,0,0,0,0,53
42,1957,Graduation,Together,21994.0,0,1,1,0,0,3,5,0,0,0,0,0,0,22
43,1959,PhD,Single,51381.5,0,0,1,1,3,4,2,0,0,0,0,0,0,186
44,1975,Master,Married,7500.0,1,0,3,2,0,3,5,0,0,0,0,0,0,31
45,1976,Graduation,Single,79941.0,0,0,1,2,4,9,1,0,0,0,0,0,0,984
46,1996,2n Cycle,Married,7500.0,0,0,3,3,1,3,9,0,0,0,0,0,1,122
47,1968,Graduation,Together,41728.0,1,0,1,2,0,2,10,0,0,0,0,0,0,55
48,1951,Graduation,Single,51381.5,2,1,3,2,1,4,6,0,0,0,0,0,0,124
49,1954,PhD,Married,72550.0,1,1,9,5,2,12,8,0,0,0,0,0,0,1319
50,1957,Graduation,Widow,65486.0,0,1,1,4,2,10,2,0,0,0,0,0,0,507
51,1964,Master,Married,79143.0,0,0,1,6,9,13,3,0,0,0,0,0,0,1693
52,1977,Graduation,Single,35790.0,1,0,2,2,0,3,7,0,0,0,0,0,0,72
53,1977,Graduation,Divorced,82582.0,0,0,1,4,9,7,1,1,0,0,1,0,1,1617
54,1978,Graduation,Married,66373.0,1,1,7,4,2,10,3,0,0,0,0,0,0,606
55,1955,Master,Together,82384.0,0,0,1,3,10,13,1,0,0,1,0,0,1,1957
56,1966,Graduation,Divorced,70287.0,0,0,1,5,5,10,3,0,0,0,0,0,1,1093
57,1988,Graduation,Single,27938.0,1,0,1,1,0,4,3,0,0,0,0,0,0,29
58,1982,Graduation,Single,51381.5,1,0,2,2,0,3,6,0,0,0,0,0,0,46
59,1968,PhD,Married,55954.0,0,1,3,8,2,6,7,0,0,0,0,0,0,518
60,1982,Master,Single,75777.0,0,0,1,3,6,11,1,0,1,1,0,0,1,1438
61,1975,Graduation,Together,66653.0,1,1,4,4,2,12,3,0,0,0,0,0,0,612
62,1952,Graduation,Single,61823.0,0,1,4,8,2,10,7,0,0,0,0,0,0,884
63,1951,PhD,Widow,67680.0,0,1,1,7,3,8,5,0,0,0,0,0,0,606
64,1948,Graduation,Together,70666.0,0,0,1,7,4,4,4,0,0,0,0,0,0,1076
65,1971,Graduation,Married,25721.0,1,0,1,1,1,2,7,0,0,0,0,0,1,34
66,1967,Graduation,Together,32474.0,1,1,1,1,0,2,7,0,0,0,0,0,0,11
67,1979,2n Cycle,Single,88194.0,0,1,1,11,10,10,5,1,0,0,1,0,1,1274
68,1958,Graduation,Together,69096.0,0,1,1,5,2,10,4,0,0,0,0,0,0,653
69,1970,Graduation,Together,74854.0,1,2,7,2,5,5,5,0,0,0,0,0,0,1562
70,1954,Master,Married,66991.0,0,0,3,4,8,6,3,0,0,0,0,0,0,1253
71,1973,2n Cycle,Married,51381.5,1,0,3,3,0,3,8,0,0,0,0,0,0,109
72,1959,Graduation,Married,65031.0,0,1,4,10,3,13,7,0,0,0,0,0,0,863
73,1975,PhD,Married,60631.0,1,1,5,9,2,8,7,0,1,0,0,0,0,661
74,1952,Graduation,Married,28332.0,0,0,1,2,1,4,2,0,0,0,0,0,0,65
75,1977,Graduation,Divorced,40246.0,1,0,1,1,0,2,6,0,0,0,0,0,0,13
76,1972,Master,Married,75251.0,0,0,1,7,6,5,5,0,0,0,0,0,1,1890
77,1976,Graduation,Single,75825.0,0,0,0,5,8,9,4,1,0,0,0,0,1,2209
78,1976,2n Cycle,Together,26326.0,0,0,1,0,0,3,3,0,0,0,0,0,0,18
79,1965,Graduation,Together,56046.0,0,0,2,10,1,8,8,1,0,0,0,0,1,692
80,1985,Graduation,Single,29760.0,1,0,4,3,1,4,8,0,0,0,0,0,0,165
81,1969,Graduation,Married,26304.0,1,0,1,1,0,2,7,0,0,0,0,0,0,16
82,1973,2n Cycle,Married,23559.0,1,0,3,3,0,3,7,0,0,0,0,0,0,79
83,1963,Master,Together,38620.0,0,0,1,2,5,3,3,0,0,0,0,0,0,318
84,1987,Graduation,Divorced,81361.0,0,0,1,3,10,13,1,0,0,0,0,0,0,778
85,1960,Graduation,Married,29440.0,1,1,2,1,0,4,7,0,0,0,0,0,0,56
86,1970,Master,Married,36138.0,1,1,5,3,1,4,7,0,1,0,0,0,0,151
87,1957,Graduation,Single,50388.0,0,1,4,6,1,6,7,0,1,0,1,0,1,372
88,1973,Graduation,Married,79593.0,0,0,1,5,6,7,2,0,0,1,0,0,0,1366
89,1967,Graduation,Together,54178.0,0,1,1,2,2,5,2,0,0,0,0,0,0,194
90,1957,PhD,Married,51381.5,2,1,12,7,2,8,9,0,0,0,0,0,0,603
91,1957,Graduation,Single,51381.5,1,1,1,1,0,2,7,0,0,0,0,0,0,18
92,1973,Master,Together,51381.5,0,0,1,2,4,8,1,0,0,0,0,0,0,985
93,1972,Master,Single,42394.0,1,0,1,1,0,3,7,0,0,0,0,0,0,32
94,1970,PhD,Married,23626.0,1,0,3,3,1,3,5,0,0,0,0,0,0,43
95,1983,Graduation,Married,30096.0,1,0,1,2,0,3,6,0,0,0,0,0,0,45
96,1960,Graduation,Widow,47916.0,0,1,5,7,4,6,6,0,1,0,0,0,0,606
97,1972,Graduation,Divorced,51813.0,1,1,2,2,0,3,7,0,0,0,0,0,0,63
98,1951,2n Cycle,Married,78497.0,0,0,1,5,7,12,2,0,0,0,1,0,0,978
99,1983,PhD,Married,50150.0,0,0,2,5,2,7,5,0,0,0,0,0,0,410
100,1960,2n Cycle,Single,47823.0,0,1,2,2,0,3,8,0,0,0,0,0,0,72
101,1959,PhD,Single,34554.0,0,1,2,2,0,3,6,0,0,0,0,0,0,55
102,1979,Graduation,Together,85693.0,0,1,2,9,5,11,5,0,0,0,0,0,0,1169
103,1945,PhD,Married,65846.0,0,0,1,6,3,6,4,0,0,0,0,0,0,1120
104,1959,Graduation,Married,87195.0,0,0,1,3,11,5,1,0,0,0,0,0,1,1097
105,1979,Basic,Together,24594.0,1,0,1,1,0,3,5,0,0,0,0,0,0,29
106,1964,Graduation,Married,49096.0,1,1,4,4,1,4,7,0,0,0,0,0,0,187
107,1969,Graduation,Married,52413.0,0,2,4,6,4,12,6,0,0,0,0,0,0,910
108,1978,Graduation,Single,38557.0,1,0,2,3,1,3,7,0,0,0,0,0,0,145
109,1960,Master,Married,89058.0,0,0,1,5,4,4,2,0,0,0,0,0,0,850
110,1979,Graduation,Together,77298.0,0,1,1,6,6,11,3,0,0,0,0,0,0,969
111,1991,PhD,Single,68126.0,0,0,1,7,4,5,9,0,1,0,0,0,1,1820
112,1963,Master,Together,57288.0,0,1,3,8,1,8,6,0,1,0,0,0,0,608
113,1991,Graduation,Single,86037.0,0,0,1,6,7,11,3,0,1,1,0,0,1,730
114,1980,PhD,Married,43974.0,1,0,5,6,4,6,7,0,0,0,0,0,0,551
115,1962,Graduation,Single,50785.0,1,1,2,2,1,3,6,0,0,0,0,0,0,114
116,1970,Graduation,Married,90765.0,0,0,0,4,6,5,1,0,0,1,1,0,0,1724
117,1978,2n Cycle,Married,36550.0,1,0,5,9,1,5,9,0,0,0,0,0,0,577
118,1967,2n Cycle,Together,30753.0,1,1,2,1,1,3,5,0,0,0,0,0,0,81
119,1969,Graduation,Together,21918.0,1,0,2,2,0,3,6,0,0,0,0,0,0,33
120,1953,Master,Together,56129.0,0,1,4,6,2,10,4,0,0,0,0,0,0,660
121,1967,Master,Single,32557.0,1,0,3,2,1,3,5,0,0,0,0,0,1,80
122,1985,Master,Married,19510.0,2,0,2,1,0,3,7,0,0,0,0,0,0,30
123,1976,Graduation,Divorced,30992.0,1,0,1,1,0,3,7,0,0,0,0,0,0,43
124,1983,Graduation,Single,101970.0,0,0,0,6,8,13,2,0,1,1,1,0,1,1135
125,1965,2n Cycle,Together,71488.0,0,0,2,3,4,7,1,0,0,0,0,0,0,559
126,1984,Graduation,Single,79607.0,0,0,1,3,6,6,1,0,0,0,0,0,1,1923
127,1953,Master,Married,54348.0,1,1,2,2,0,4,6,0,0,0,0,0,0,90
128,1961,PhD,Married,51381.5,0,1,3,6,1,7,6,0,0,0,0,0,0,404
129,1956,PhD,Together,77376.0,1,1,4,6,3,10,4,0,0,0,0,0,0,661
