,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Total_Amount_Spent,Target
0,1957,2,4,58138.0,0,0,3,8,10,4,7,0,0,0,0,0,1,1617,0
1,1954,2,4,46344.0,1,1,2,1,1,2,5,0,0,0,0,0,0,27,0
2,1965,2,5,71613.0,0,0,1,8,2,10,4,0,0,0,0,0,0,776,1
3,1984,2,5,26646.0,1,0,2,2,0,4,6,0,0,0,0,0,0,53,3
4,1981,4,3,58293.0,1,0,5,5,3,6,5,0,0,0,0,0,0,422,0
5,1967,3,5,62513.0,0,1,2,6,4,10,6,0,0,0,0,0,0,716,0
6,1971,2,2,55635.0,0,1,4,7,3,7,6,0,0,0,0,0,0,590,0
7,1985,4,3,33454.0,1,0,2,4,0,4,8,0,0,0,0,0,0,169,3
8,1974,4,5,30351.0,1,0,1,3,0,2,9,0,0,0,0,0,1,46,3
9,1950,4,5,5648.0,1,1,1,1,0,0,20,1,0,0,0,0,0,49,3
10,1983,2,3,51381.5,1,0,1,1,0,2,7,0,0,0,0,0,0,19,0
11,1976,1,3,7500.0,0,0,1,2,0,3,8,0,0,0,0,0,0,61,3
12,1959,2,2,63033.0,0,0,1,3,4,8,2,0,0,0,0,0,0,1102,0
13,1952,3,2,59354.0,1,1,3,6,1,5,6,0,0,0,0,0,0,310,0
14,1987,2,3,17323.0,0,0,1,1,0,3,8,0,0,0,0,0,0,46,3
15,1946,4,4,82800.0,0,0,1,7,6,12,3,0,0,1,1,0,1,1315,1
16,1980,2,3,41850.0,1,1,3,3,0,3,8,0,0,0,0,0,0,96,0
17,1946,2,5,37760.0,0,0,2,4,1,6,7,0,0,0,0,0,0,317,3
18,1949,3,3,76995.0,0,1,2,11,4,9,5,0,0,0,1,0,0,1782,1
19,1985,0,4,33812.0,1,0,2,2,1,3,6,0,0,0,0,0,0,133,3
20,1982,2,3,37040.0,0,0,1,4,2,5,8,0,0,0,0,0,0,316,3
21,1979,2,3,2447.0,1,0,15,0,28,0,1,0,0,0,0,0,0,1730,3
22,1949,4,3,58607.0,0,1,3,2,3,9,8,0,1,0,0,0,0,972,0
23,1954,4,3,65324.0,0,1,3,6,2,9,4,0,0,0,0,0,0,544,1
24,1951,2,5,40689.0,0,1,7,7,1,5,8,0,0,0,0,0,0,444,0
25,1969,2,4,18589.0,0,0,2,2,1,3,7,0,0,0,0,0,0,75,3
26,1976,2,3,53359.0,1,1,4,5,1,4,7,0,0,0,0,0,0,257,0
27,1986,2,4,51381.5,1,0,0,27,0,0,1,0,0,0,0,0,0,637,0
28,1989,2,3,38360.0,1,0,2,2,1,4,3,0,0,0,0,0,0,131,3
29,1965,4,3,84618.0,0,0,1,6,9,10,2,0,0,1,0,0,0,1672,1
30,1989,3,2,10979.0,0,0,2,3,0,3,5,0,0,0,0,0,0,30,3
31,1963,3,5,38620.0,0,0,1,2,5,3,3,0,0,0,0,0,0,318,3
32,1970,2,5,40548.0,0,1,2,2,1,4,5,0,1,0,0,0,0,120,0
33,1952,4,2,46610.0,0,2,6,4,1,6,6,0,0,0,0,0,1,302,0
34,1946,3,3,68657.0,0,0,1,3,5,9,7,0,0,0,0,0,0,1196,1
35,1951,3,4,49389.0,1,1,1,2,0,3,7,0,0,0,0,0,0,65,0
36,1970,4,3,67353.0,0,1,5,5,6,12,2,0,0,0,0,0,0,913,1
37,1976,0,3,23718.0,1,0,3,3,1,2,7,0,0,0,0,0,0,81,3
38,1973,2,6,42429.0,0,1,2,1,1,3,5,0,0,0,0,0,0,67,0
39,1943,4,2,48948.0,0,0,2,7,10,5,6,1,0,0,0,0,1,902,0
40,1980,2,3,80011.0,0,1,2,8,6,5,4,0,0,0,0,0,0,1395,1
41,1985,3,3,20559.0,1,0,2,2,0,3,8,0,0,0,0,0,0,53,3
42,1957,2,5,21994.0,0,1,1,0,0,3,5,0,0,0,0,0,0,22,3
43,1959,4,4,51381.5,0,0,1,1,3,4,2,0,0,0,0,0,0,186,0
44,1975,3,3,7500.0,1,0,3,2,0,3,5,0,0,0,0,0,0,31,3
45,1976,2,4,79941.0,0,0,1,2,4,9,1,0,0,0,0,0,0,984,1
46,1996,0,3,7500.0,0,0,3,3,1,3,9,0,0,0,0,0,1,122,3
47,1968,2,5,41728.0,1,0,1,2,0,2,10,0,0,0,0,0,0,55,0
48,1951,2,4,51381.5,2,1,3,2,1,4,6,0,0,0,0,0,0,124,0
49,1954,4,3,72550.0,1,1,9,5,2,12,8,0,0,0,0,0,0,1319,1
50,1957,2,6,65486.0,0,1,1,4,2,10,2,0,0,0,0,0,0,507,1
51,1964,3,3,79143.0,0,0,1,6,9,13,3,0,0,0,0,0,0,1693,1
52,1977,2,4,35790.0,1,0,2,2,0,3,7,0,0,0,0,0,0,72,3
53,1977,2,2,82582.0,0,0,1,4,9,7,1,1,0,0,1,0,1,1617,1
54,1978,2,3,66373.0,1,1,7,4,2,10,3,0,0,0,0,0,0,606,1
55,1955,3,5,82384.0,0,0,1,3,10,13,1,0,0,1,0,0,1,1957,1
56,1966,2,2,70287.0,0,0,1,5,5,10,3,0,0,0,0,0,1,1093,1
57,1988,2,4,27938.0,1,0,1,1,0,4,3,0,0,0,0,0,0,29,3
58,1982,2,4,51381.5,1,0,2,2,0,3,6,0,0,0,0,0,0,46,0
59,1968,4,3,55954.0,0,1,3,8,2,6,7,0,0,0,0,0,0,518,0
60,1982,3,4,75777.0,0,0,1,3,6,11,1,0,1,1,0,0,1,1438,1
61,1975,2,5,66653.0,1,1,4,4,2,12,3,0,0,0,0,0,0,612,1
62,1952,2,4,61823.0,0,1,4,8,2,10,7,0,0,0,0,0,0,884,0
63,1951,4,6,67680.0,0,1,1,7,3,8,5,0,0,0,0,0,0,606,1
64,1948,2,5,70666.0,0,0,1,7,4,4,4,0,0,0,0,0,0,1076,1
65,1971,2,3,25721.0,1,0,1,1,1,2,7,0,0,0,0,0,1,34,3
66,1967,2,5,32474.0,1,1,1,1,0,2,7,0,0,0,0,0,0,11,3
67,1979,0,4,88194.0,0,1,1,11,10,10,5,1,0,0,1,0,1,1274,1
68,1958,2,5,69096.0,0,1,1,5,2,10,4,0,0,0,0,0,0,653,1
69,1970,2,5,74854.0,1,2,7,2,5,5,5,0,0,0,0,0,0,1562,1
70,1954,3,3,66991.0,0,0,3,4,8,6,3,0,0,0,0,0,0,1253,1
71,1973,0,3,51381.5,1,0,3,3,0,3,8,0,0,0,0,0,0,109,0
72,1959,2,3,65031.0,0,1,4,10,3,13,7,0,0,0,0,0,0,863,1
73,1975,4,3,60631.0,1,1,5,9,2,8,7,0,1,0,0,0,0,661,0
74,1952,2,3,28332.0,0,0,1,2,1,4,2,0,0,0,0,0,0,65,3
75,1977,2,2,40246.0,1,0,1,1,0,2,6,0,0,0,0,0,0,13,3
76,1972,3,3,75251.0,0,0,1,7,6,5,5,0,0,0,0,0,1,1890,1
77,1976,2,4,75825.0,0,0,0,5,8,9,4,1,0,0,0,0,1,2209,1
78,1976,0,5,26326.0,0,0,1,0,0,3,3,0,0,0,0,0,0,18,3
79,1965,2,5,56046.0,0,0,2,10,1,8,8,1,0,0,0,0,1,692,0
80,1985,2,4,29760.0,1,0,4,3,1,4,8,0,0,0,0,0,0,165,3
81,1969,2,3,26304.0,1,0,1,1,0,2,7,0,0,0,0,0,0,16,3
82,1973,0,3,23559.0,1,0,3,3,0,3,7,0,0,0,0,0,0,79,3
83,1963,3,5,38620.0,0,0,1,2,5,3,3,0,0,0,0,0,0,318,3
84,1987,2,2,81361.0,0,0,1,3,10,13,1,0,0,0,0,0,0,778,1
85,1960,2,3,29440.0,1,1,2,1,0,4,7,0,0,0,0,0,0,56,3
86,1970,3,3,36138.0,1,1,5,3,1,4,7,0,1,0,0,0,0,151,3
87,1957,2,4,50388.0,0,1,4,6,1,6,7,0,1,0,1,0,1,372,0
88,1973,2,3,79593.0,0,0,1,5,6,7,2,0,0,1,0,0,0,1366,1
89,1967,2,5,54178.0,0,1,1,2,2,5,2,0,0,0,0,0,0,194,0
90,1957,4,3,51381.5,2,1,12,7,2,8,9,0,0,0,0,0,0,603,0
91,1957,2,4,51381.5,1,1,1,1,0,2,7,0,0,0,0,0,0,18,0
92,1973,3,5,51381.5,0,0,1,2,4,8,1,0,0,0,0,0,0,985,0
93,1972,3,4,42394.0,1,0,1,1,0,3,7,0,0,0,0,0,0,32,0
94,1970,4,3,23626.0,1,0,3,3,1,3,5,0,0,0,0,0,0,43,3
95,1983,2,3,30096.0,1,0,1,2,0,3,6,0,0,0,0,0,0,45,3
96,1960,2,6,47916.0,0,1,5,7,4,6,6,0,1,0,0,0,0,606,0
97,1972,2,2,51813.0,1,1,2,2,0,3,7,0,0,0,0,0,0,63,0
98,1951,0,3,78497.0,0,0,1,5,7,12,2,0,0,0,1,0,0,978,1
99,1983,4,3,50150.0,0,0,2,5,2,7,5,0,0,0,0,0,0,410,0
100,1960,0,4,47823.0,0,1,2,2,0,3,8,0,0,0,0,0,0,72,0
101,1959,4,4,34554.0,0,1,2,2,0,3,6,0,0,0,0,0,0,55,3
102,1979,2,5,85693.0,0,1,2,9,5,11,5,0,0,0,0,0,0,1169,1
103,1945,4,3,65846.0,0,0,1,6,3,6,4,0,0,0,0,0,0,1120,1
104,1959,2,3,87195.0,0,0,1,3,11,5,1,0,0,0,0,0,1,1097,1
105,1979,1,5,24594.0,1,0,1,1,0,3,5,0,0,0,0,0,0,29,3
106,1964,2,3,49096.0,1,1,4,4,1,4,7,0,0,0,0,0,0,187,0
107,1969,2,3,52413.0,0,2,4,6,4,12,6,0,0,0,0,0,0,910,0
108,1978,2,4,38557.0,1,0,2,3,1,3,7,0,0,0,0,0,0,145,3
109,1960,3,3,89058.0,0,0,1,5,4,4,2,0,0,0,0,0,0,850,1
110,1979,2,5,77298.0,0,1,1,6,6,11,3,0,0,0,0,0,0,969,1
111,1991,4,4,68126.0,0,0,1,7,4,5,9,0,1,0,0,0,1,1820,1
112,1963,3,5,57288.0,0,1,3,8,1,8,6,0,1,0,0,0,0,608,0
113,1991,2,4,86037.0,0,0,1,6,7,11,3,0,1,1,0,0,1,730,1
114,1980,4,3,43974.0,1,0,5,6,4,6,7,0,0,0,0,0,0,551,0
115,1962,2,4,50785.0,1,1,2,2,1,3,6,0,0,0,0,0,0,114,0
116,1970,2,3,90765.0,0,0,0,4,6,5,1,0,0,1,1,0,0,1724,1
117,1978,0,3,36550.0,1,0,5,9,1,5,9,0,0,0,0,0,0,577,3
118,1967,0,5,30753.0,1,1,2,1,1,3,5,0,0,0,0,0,0,81,3
119,1969,2,5,21918.0,1,0,2,2,0,3,6,0,0,0,0,0,0,33,3
120,1953,3,5,56129.0,0,1,4,6,2,10,4,0,0,0,0,0,0,660,0
121,1967,3,4,32557.0,1,0,3,2,1,3,5,0,0,0,0,0,1,80,3
122,1985,3,3,19510.0,2,0,2,1,0,3,7,0,0,0,0,0,0,30,3
123,1976,2,2,30992.0,1,0,1,1,0,3,7,0,0,0,0,0,0,43,3
124,1983,2,4,101970.0,0,0,0,6,8,13,2,0,1,1,1,0,1,1135,1
125,1965,0,5,71488.0,0,0,2,3,4,7,1,0,0,0,0,0,0,559,1
126,1984,2,4,79607.0,0,0,1,3,6,6,1,0,0,0,0,0,1,1923,1
127,1953,3,3,54348.0,1,1,2,2,0,4,6,0,0,0,0,0,0,90,0
128,1961,4,3,51381.5,0,1,3,6,1,7,6,0,0,0,0,0,0,404,0
129,1956,4,5,77376.0,1,1,4,6,3,10,4,0,0,0,0,0,0,661,1
130,1952,2,3,62998.0,0,1,5,5,4,5,5,0,0,0,0,0,0,463,0
131,1958,3,1,61331.0,1,1,5,11,1,6,8,0,0,0,0,0,0,632,0
132,1969,2,3,73448.0,0,0,1,7,2,9,4,0,0,0,0,0,0,725,1
133,1963,2,3,51381.5,0,1,1,6,5,7,4,0,0,0,0,0,0,725,0
134,1964,4,3,41551.0,1,1,5,5,1,5,8,0,0,0,0,0,0,279,0
135,1967,4,5,62981.0,0,0,1,4,5,13,3,0,1,0,0,0,0,1482,0
136,1976,1,2,9548.0,1,0,2,1,0,3,8,0,0,0,0,0,0,29,3
137,1959,4,3,33762.0,2,1,3,2,2,2,8,0,0,0,0,0,0,106,3
138,1973,4,1,35860.0,1,1,2,1,1,2,5,1,0,0,0,0,1,49,3
139,1965,4,2,36921.0,1,1,2,2,0,3,7,0,0,0,0,0,0,38,3
140,1992,3,4,92859.0,0,0,1,5,4,12,2,0,0,0,0,0,0,2077,1
141,1976,3,5,65104.0,0,1,2,3,5,7,7,0,0,0,0,0,1,1053,1
142,1962,2,3,86111.0,0,0,1,5,7,10,2,0,0,0,0,0,0,1385,1
143,1974,4,4,68352.0,0,1,3,8,5,9,6,0,0,0,0,0,0,871,1
144,1988,2,5,41883.0,1,0,3,4,2,3,7,0,0,0,0,0,0,312,0
145,1976,2,3,59809.0,0,2,3,3,3,6,8,0,0,0,0,0,0,877,0
146,1975,2,3,23957.0,1,0,1,2,0,3,6,0,0,0,0,0,1,68,3
147,1981,2,5,38547.0,1,0,1,1,0,2,8,0,0,0,0,0,0,22,3
148,1973,0,3,35688.0,2,1,7,4,1,4,8,0,0,0,0,0,0,211,3
149,1966,3,3,49605.0,0,0,1,2,1,4,3,0,0,0,0,0,0,127,0
150,1953,3,3,59354.0,0,2,1,4,4,7,3,0,0,0,0,0,0,459,0
151,1969,2,3,65747.0,0,1,4,8,1,6,6,0,1,0,0,0,0,460,1
152,1972,0,5,46344.0,0,1,4,7,1,5,7,0,0,0,0,0,0,429,0
153,1988,2,1,34176.0,1,0,4,3,0,4,6,0,0,0,0,0,0,89,3
154,1952,4,5,61010.0,0,1,2,8,5,11,5,0,0,0,0,0,0,1021,0
155,1949,2,5,69372.0,0,0,1,10,4,6,4,0,1,1,0,0,1,1381,1
156,1958,2,4,49967.0,0,1,3,6,1,5,7,0,0,0,0,0,0,306,0
157,1978,2,4,60199.0,1,2,1,0,0,3,4,0,0,0,0,0,0,18,0
